LIFNR,NAME1,LAND1,ORT01,KTOKK,SPRAS,WAERS,STCD1,BRSCH
1000001,Meridian Industrial Supplies Pvt Ltd,IN,Mumbai,KRED,EN,INR,27AACTS5678B1ZP,MRO
1000002,Novalux Raw Materials Ltd,IN,Pune,KRED,EN,INR,27AABCM1234C1ZQ,RAW
1000003,Volterra Power Systems Pvt Ltd,IN,Bangalore,KRED,EN,INR,29AABCB5678D1ZR,ELEC
1000004,Stratos Control Technologies Ltd,IN,Mumbai,KRED,EN,INR,27AABCS9012E1ZS,ELEC
1000005,Apex MRO Solutions Pvt Ltd,IN,Pune,KRED,EN,INR,27AABCR3456F1ZT,MRO
1000006,Crestline Engineering Services Ltd,IN,Chennai,KRED,EN,INR,33AABCL7890G1ZU,ENG
1000007,Ironvault Logistics and Handling,IN,Mumbai,KRED,EN,INR,27AABCG2345H1ZV,MRO
1000008,Nexigen Infrastructure Supplies,IN,Hyderabad,KRED,EN,INR,36AABCW6789I1ZW,IT
1000009,Chemara Process Materials Pvt Ltd,IN,Vadodara,KRED,EN,INR,24AABCS0123J1ZX,CHEM
1000010,Synthex Industrial Coatings Ltd,IN,Mumbai,KRED,EN,INR,27AABCA4567K1ZY,CHEM
1000011,Vantara Specialty Chemicals Pvt Ltd,IN,Mumbai,KRED,EN,INR,27AABCB8901L1ZZ,CHEM
1000012,Electra Drive Systems India Ltd,IN,Bangalore,KRED,EN,INR,29AABCA2345M1ZA,ELEC
1000013,Precisia Instrumentation Pvt Ltd,IN,Pune,KRED,EN,INR,27AABCH6789N1ZB,ELEC
1000014,Safeguard Industrial Products Ltd,IN,Bangalore,KRED,EN,INR,29AABCA0123O1ZC,MRO
1000015,Orbis General Supplies Pvt Ltd,IN,Delhi,KRED,EN,INR,07AABCG4567P1ZD,MRO
1000016,Axlebrand Precision Bearings Ltd,IN,Pune,KRED,EN,INR,27AABCS8901Q1ZE,MECH
1000017,Torqline Mechanical Components,IN,Pune,KRED,EN,INR,27AABCS2345R1ZF,MECH
1000018,Fluidex Motion Systems Pvt Ltd,IN,Mumbai,KRED,EN,INR,27AABCP6789S1ZG,MECH
1000019,Aerofit Pneumatic Technologies,IN,Bangalore,KRED,EN,INR,29AABCF0123T1ZH,MECH
1000020,Voltex Automation India Pvt Ltd,IN,Mumbai,KRED,EN,INR,27AABCE4567U1ZI,ELEC
