EBELN,EBELP,MATNR,MAKTX,MENGE,MEINS,NETPR,PEINH,WERKS,LGORT,MATKL,LIFNR
4500001001,10,MAT-MRO-001,Industrial Bearings Type-A 6205,100,EA,450.00,1,1000,0001,MRO,1000001
4500001002,10,MAT-RAW-001,Cold Rolled Steel Sheet 2mm,5000,KG,85.50,1,1000,0001,RAW,1000002
4500001003,10,MAT-ELEC-001,Control Panel 400V Standard,25,EA,12500.00,1,1000,0001,ELEC,1000003
4500001004,10,MAT-MRO-001,Industrial Bearings Type-A 6205,150,EA,440.00,1,1000,0001,MRO,1000001
4500001005,10,MAT-MRO-002,Safety Gloves Cut Resistant Level D,500,PR,125.00,1,1000,0001,MRO,1000005
4500001006,10,MAT-ELEC-002,Programmable Logic Controller S-Class,10,EA,45000.00,1,1000,0001,ELEC,1000004
4500001007,10,MAT-ENG-001,Hydraulic Pump Assembly 50HP,5,EA,85000.00,1,1000,0001,ENG,1000006
4500001008,10,MAT-RAW-001,Cold Rolled Steel Sheet 2mm,8000,KG,83.00,1,1000,0001,RAW,1000002
4500001009,10,MAT-MRO-003,Forklift Traction Battery 48V,8,EA,35000.00,1,1000,0001,MRO,1000007
4500001010,10,MAT-ELEC-001,Control Panel 400V Standard,30,EA,11800.00,1,1000,0001,ELEC,1000003
4500001011,10,MAT-IT-001,Network Switch 24 Port Managed,15,EA,8500.00,1,1000,0001,IT,1000008
4500001012,10,MAT-MRO-001,Industrial Bearings Type-A 6205,200,EA,435.00,1,1000,0001,MRO,1000001
4500001013,10,MAT-CHEM-001,Sodium Hydroxide Lye 98pct,2000,KG,55.00,1,1000,0001,CHEM,1000009
4500001014,10,MAT-CHEM-002,Industrial Epoxy Coating,500,LT,320.00,1,1000,0001,CHEM,1000010
4500001015,10,MAT-MRO-002,Safety Gloves Cut Resistant Level D,800,PR,120.00,1,1000,0001,MRO,1000005
4500001016,10,MAT-CHEM-003,Polyurethane Resin Grade B,1000,KG,185.00,1,1000,0001,CHEM,1000011
4500001017,10,MAT-ELEC-003,Variable Frequency Drive 15KW,12,EA,28000.00,1,1000,0001,ELEC,1000012
4500001018,10,MAT-ELEC-004,Differential Pressure Sensor,50,EA,4500.00,1,1000,0001,ELEC,1000013
4500001019,10,MAT-MRO-004,Hard Hat Safety Helmet Type II,200,EA,850.00,1,1000,0001,MRO,1000014
4500001020,10,MAT-MRO-005,Industrial Floor Cleaner Concentrate,100,EA,250.00,1,1000,0001,MRO,1000015
4500001021,10,MAT-MECH-001,Precision Ball Bearing 6308,300,EA,680.00,1,1000,0001,MECH,1000016
4500001022,10,MAT-MECH-002,Tapered Roller Bearing Set,150,EA,920.00,1,1000,0001,MECH,1000017
4500001023,10,MAT-MRO-001,Industrial Bearings Type-A 6205,250,EA,430.00,1,1000,0001,MRO,1000001
4500001024,10,MAT-MECH-003,Double Acting Hydraulic Cylinder,20,EA,15000.00,1,1000,0001,MECH,1000018
4500001025,10,MAT-MECH-004,Solenoid Pneumatic Valve 5/2,75,EA,3200.00,1,1000,0001,MECH,1000019
4500001026,10,MAT-RAW-001,Cold Rolled Steel Sheet 2mm,6000,KG,82.00,1,1000,0001,RAW,1000002
4500001027,10,MAT-ELEC-005,Electromagnetic Flow Transmitter,30,EA,18500.00,1,1000,0001,ELEC,1000020
4500001028,10,MAT-MRO-002,Safety Gloves Cut Resistant Level D,1000,PR,118.00,1,1000,0001,MRO,1000005
4500001029,10,MAT-MRO-003,Forklift Traction Battery 48V,10,EA,33000.00,1,1000,0001,MRO,1000007
4500001030,10,MAT-ELEC-001,Control Panel 400V Standard,20,EA,11500.00,1,1000,0001,ELEC,1000003
